libcryptsetup12:armhf 2:2.1.0-5+deb10u2
libcups2:armhf 2.2.10-6+deb10u2
libcurl3-gnutls:armhf 7.64.0-4
libcurl4:armhf 7.64.0-4
libcwidget3v5:armhf 0.5.17-11
libdaemon0:armhf 0.14-7
libdatrie1:armhf 0.2.12-2
libdb5.3:armhf 5.3.28+dfsg1-0.5
libdbus-1-3:armhf 1.12.16-1
libdebconfclient0:armhf 0.249
libdevmapper1.02.1:armhf 2:1.02.155-3
libdns-export1104 1:9.11.5.P4+dfsg-5.1
libdns1104:armhf 1:9.11.5.P4+dfsg-5.1
libdpkg-perl 1.19.7
libdw1:armhf 0.176-1.1
libedit2:armhf 3.1-20181209-1
libelf1:armhf 0.176-1.1
libencode-locale-perl 1.05-1
liberror-perl 0.17027-2
libestr0:armhf 0.1.10-2.1
libevent-2.1-6:armhf 2.1.8-stable-4
libevent-core-2.1-6:armhf 2.1.8-stable-4
libevent-pthreads-2.1-6:armhf 2.1.8-stable-4
libexpat1:armhf 2.2.6-2+deb10u1
libext2fs2:armhf 1.44.5-1+deb10u3
libfakeroot:armhf 1.23-1
libfastjson4:armhf 0.99.8-2
libfcgi-perl 0.78-2+b2
libfdisk1:armhf 2.33.1-0.1
libffi6:armhf 3.2.1-9
libfftw3-single3:armhf 3.3.8-2
libfile-fcntllock-perl 0.22-3+b4
libfl-dev:armhf 2.6.4-6.2
libfl2:armhf 2.6.4-6.2
libfontconfig1:armhf 2.13.1-2
libfreetype6:armhf 2.9.1-3+deb10u1
libfreetype6-dev:armhf 2.9.1-3+deb10u1
libfribidi0:armhf 1.0.5-3.1+deb10u1
libfstrm0:armhf 0.4.0-1
libftdi1-2:armhf 1.4-1+b2
libfuse2:armhf 2.9.9-1
libgail-common:armhf 2.24.32-3+rpt1
libgail18:armhf 2.24.32-3+rpt1
libgcc-8-dev:armhf 8.3.0-6+rpi1
libgcc1:armhf 1:8.3.0-6+rpi1
libgcrypt20:armhf 1.8.4-5
libgdbm-compat4:armhf 1.18.1-4
libgdbm6:armhf 1.18.1-4
libgdk-pixbuf2.0-0:armhf 2.38.1+dfsg-1
libgdk-pixbuf2.0-bin 2.38.1+dfsg-1
libgdk-pixbuf2.0-common 2.38.1+dfsg-1
libgeoip1:armhf 1.6.12-1
libglib2.0-0:armhf 2.58.3-2+deb10u2
libglib2.0-data 2.58.3-2+deb10u2
libgmp10:armhf 2:6.1.2+dfsg-4
libgnutls30:armhf 3.6.7-4+deb10u2
libgomp1:armhf 8.3.0-6+rpi1
libgpg-error0:armhf 1.35-1
libgpm2:armhf 1.20.7-5
libgraphite2-3:armhf 1.3.13-7
libgssapi-krb5-2:armhf 1.17-3
libgtk2.0-0:armhf 2.24.32-3+rpt1
libgtk2.0-bin 2.24.32-3+rpt1
libgtk2.0-common 2.24.32-3+rpt1
libharfbuzz0b:armhf 2.3.1-1
libhogweed4:armhf 3.4.1-1
libhtml-parser-perl 3.72-3+b2
libhtml-tagset-perl 3.20-3
libhttp-date-perl 6.02-1
libhttp-message-perl 6.18-1
libice6:armhf 2:1.0.9-2
libicu63:armhf 63.1-6
libident 0.22-3.1
libidn11:armhf 1.33-2.2
libidn2-0:armhf 2.0.5-1+deb10u1
libio-html-perl 1.001-1
libio-string-perl 1.08-3
libip4tc0:armhf 1.8.2-4
libip6tc0:armhf 1.8.2-4
libiptc0:armhf 1.8.2-4
libirs161:armhf 1:9.11.5.P4+dfsg-5.1
libisc-export1100:armhf 1:9.11.5.P4+dfsg-5.1
libisc1100:armhf 1:9.11.5.P4+dfsg-5.1
libisccc161:armhf 1:9.11.5.P4+dfsg-5.1
libisccfg163:armhf 1:9.11.5.P4+dfsg-5.1
libisl19:armhf 0.20-2
libiw30:armhf 30~pre9-13
libjbig0:armhf 2.1-3.1+b2
libjim0.77:armhf 0.77+dfsg0-3
libjpeg62-turbo:armhf 1:1.5.2-2+b1
libjs-jquery 3.3.1~dfsg-3
libjson-c3:armhf 0.12.1+ds-2
libk5crypto3:armhf 1.17-3
libkeyutils1:armhf 1.6-6
libklibc:armhf 2.0.6-1+rpi1
libkmod2:armhf 26-1
libkrb5-3:armhf 1.17-3
libkrb5support0:armhf 1.17-3
libksba8:armhf 1.3.5-2
libldap-2.4-2:armhf 2.4.47+dfsg-3+rpi1+deb10u1
libldap-common 2.4.47+dfsg-3+rpi1+deb10u1
liblmdb0:armhf 0.9.22-1
liblocale-gettext-perl 1.07-3+b3
liblognorm5:armhf 2.0.5-1
liblua5.2-0:armhf 5.2.4-1.1+b1
libluajit-5.1-2:armhf 2.1.0~beta3+dfsg-5.1
libluajit-5.1-common 2.1.0~beta3+dfsg-5.1
liblwp-mediatypes-perl 6.02-1
liblwres161:armhf 1:9.11.5.P4+dfsg-5.1
liblz4-1:armhf 1.8.3-1
liblzma5:armhf 5.2.4-1
libmagic-mgc 1:5.35-4+deb10u1
libmagic1:armhf 1:5.35-4+deb10u1
libmnl-dev 1.0.4-2
libmnl0:armhf 1.0.4-2
libmount1:armhf 2.33.1-0.1
libmpc3:armhf 1.1.0-1
libmpdec2:armhf 2.4.2-2
libmpfr6:armhf 4.0.2-1
libmtp-common 1.1.16-2
libmtp-runtime 1.1.16-2
libmtp9:armhf 1.1.16-2
libncurses6:armhf 6.1+20181013-2+deb10u2
libncursesw5:armhf 6.1+20181013-2+deb10u2
libncursesw6:armhf 6.1+20181013-2+deb10u2
libnetfilter-conntrack3:armhf 1.0.7-1
libnettle6:armhf 3.4.1-1
libnewt0.52:armhf 0.52.20-8
libnfnetlink0:armhf 1.0.1-3
libnfsidmap2:armhf 0.25-5.1
libnftnl11:armhf 1.1.2-2
libnghttp2-14:armhf 1.36.0-2+deb10u1
libnl-3-200:armhf 3.4.0-1
libnl-genl-3-200:armhf 3.4.0-1
libnl-route-3-200:armhf 3.4.0-1
libnpth0:armhf 1.6-1
libnss-mdns:armhf 0.14.1-1+b5
libntfs-3g883 1:2017.3.23AR.3-3
libopts25:armhf 1:5.18.12-4
libp11-kit0:armhf 0.23.15-2
libpam-chksshpwd:armhf 1.3.1-5+rpt1
libpam-modules:armhf 1.3.1-5+rpt1
libpam-modules-bin 1.3.1-5+rpt1
libpam-runtime 1.3.1-5+rpt1
libpam-systemd:armhf 241-7~deb10u3+rpi1
libpam0g:armhf 1.3.1-5+rpt1
libpango-1.0-0:armhf 1.42.4-7~deb10u1
libpangocairo-1.0-0:armhf 1.42.4-7~deb10u1
libpangoft2-1.0-0:armhf 1.42.4-7~deb10u1
libparse-debianchangelog-perl 1.2.0-13
libparted2:armhf 3.2-25
libpcap0.8:armhf 1.8.1-6
libpci3:armhf 1:3.5.2-1
libpcre2-8-0:armhf 10.32-5
libpcre2-posix0:armhf 10.32-5
libpcre3:armhf 2:8.39-12
libpcsclite1:armhf 1.8.24-1
libperl5.28:armhf 5.28.1-6
libpipeline1:armhf 1.5.1-2
libpixman-1-0:armhf 0.36.0-1+rpt1
libpng-dev:armhf 1.6.36-6
libpng-tools 1.6.36-6
libpng16-16:armhf 1.6.36-6
libpolkit-agent-1-0:armhf 0.105-25
libpolkit-backend-1-0:armhf 0.105-25
libpolkit-gobject-1-0:armhf 0.105-25
libpopt0:armhf 1.16-12
libprocps7:armhf 2:3.3.15-2
libprotobuf-c1:armhf 1.3.1-1+b1
libpsl5:armhf 0.20.2-2
libpython-stdlib:armhf 2.7.16-1
libpython2-stdlib:armhf 2.7.16-1
libpython2.7-minimal:armhf 2.7.16-2+deb10u1
libpython2.7-stdlib:armhf 2.7.16-2+deb10u1
